N,TL,TR,current_trail,thread_1,thread_2,thread_3,thread_4,thread_5,thread_6,thread_7,thread_8,Mean,std_div
Rate Function: sqrt(x*y/(x+y)),,,,,,,,,,,,,,
Test_1: Mean energy flux for changing length of the chain. Let N change from 2 to 100.,,,,,,,,,,,,,,
9,1,2,7,2824.42,2343.51,3472.65,2360.93,2016.56,3013.34,3105.83,2312.79,0.134063,
9,1,2,8,2824.42,2343.51,3472.65,2360.93,2016.56,3013.34,3105.83,2312.79,0.134063,
9,1,2,9,2824.42,2343.51,3472.65,2360.93,2016.56,3013.34,3105.83,2312.79,0.134063,
9,1,2,10,2651.69,2749.25,2399.88,2635,3152.92,1951.27,3045.88,3170.71,0.135979,
,,,,,,,,,,,,,=STDEV.S(M88:M97),
,,,,,,,,,,,,,,
10,1,2,1,2348.7,2532.7,2524.32,3266.12,2589.04,2856.79,3227.06,2982.89,0.139548,
10,1,2,2,2348.7,2532.7,2524.32,3266.12,2589.04,2856.79,3227.06,2982.89,0.139548,
10,1,2,3,2348.7,2532.7,2524.32,3266.12,2589.04,2856.79,3227.06,2982.89,0.139548,
10,1,2,4,2348.7,2532.7,2524.32,3266.12,2589.04,2856.79,3227.06,2982.89,0.139548,
10,1,2,5,2348.7,2532.7,2524.32,3266.12,2589.04,2856.79,3227.06,2982.89,0.139548,
10,1,2,6,2348.7,2532.7,2524.32,3266.12,2589.04,2856.79,3227.06,2982.89,0.139548,
10,1,2,7,2348.7,2532.7,2524.32,3266.12,2589.04,2856.79,3227.06,2982.89,0.139548,
10,1,2,8,2348.7,2532.7,2524.32,3266.12,2589.04,2856.79,3227.06,2982.89,0.139548,
10,1,2,9,2348.7,2532.7,2524.32,3266.12,2589.04,2856.79,3227.06,2982.89,0.139548,
10,1,2,10,2348.7,2532.7,2524.32,3266.12,2589.04,2856.79,3227.06,2982.89,0.139548,
,,,,,,,,,,,,,=STDEV.S(M100:M109),
,,,,,,,,,,,,,,
15,1,2,1,2420.55,2593.92,1646.77,2941.54,2107.66,2157.93,2589.84,3350.95,0.123807,
15,1,2,2,2420.55,2593.92,1646.77,2941.54,2107.66,2157.93,2589.84,3350.95,0.123807,
15,1,2,3,2360.36,1986.97,1905.48,2845.02,2647.56,2346.08,2070.11,2764.06,0.118285,
15,1,2,4,2360.36,1986.97,1905.48,2845.02,2647.56,2346.08,2070.11,2764.06,0.118285,
15,1,2,5,2360.36,1986.97,1905.48,2845.02,2647.56,2346.08,2070.11,2764.06,0.118285,
15,1,2,6,2360.36,1986.97,1905.48,2845.02,2647.56,2346.08,2070.11,2764.06,0.118285,
15,1,2,7,2360.36,1986.97,1905.48,2845.02,2647.56,2346.08,2070.11,2764.06,0.118285,
15,1,2,8,2360.36,1986.97,1905.48,2845.02,2647.56,2346.08,2070.11,2764.06,0.118285,
15,1,2,9,2360.36,1986.97,1905.48,2845.02,2647.56,2346.08,2070.11,2764.06,0.118285,
15,1,2,10,2360.36,1986.97,1905.48,2845.02,2647.56,2346.08,2070.11,2764.06,0.118285,
,,,,,,,,,,,,,=STDEV.S(M112:M121),
,,,,,,,,,,,,,,
20,1,2,1,2562.03,2694.18,2671.93,2424.26,2737.46,1361.82,2142.71,3212.38,0.123792,
20,1,2,2,2347.31,2501.7,2608.94,1939.8,2221.88,2681.14,3067.1,2597.96,0.124786,
20,1,2,3,2347.31,2501.7,2608.94,1939.8,2221.88,2681.14,3067.1,2597.96,0.124786,
20,1,2,4,2347.31,2501.7,2608.94,1939.8,2221.88,2681.14,3067.1,2597.96,0.124786,
20,1,2,5,2347.31,2501.7,2608.94,1939.8,2221.88,2681.14,3067.1,2597.96,0.124786,
20,1,2,6,2347.31,2501.7,2608.94,1939.8,2221.88,2681.14,3067.1,2597.96,0.124786,
20,1,2,7,2347.31,2501.7,2608.94,1939.8,2221.88,2681.14,3067.1,2597.96,0.124786,
20,1,2,8,2347.31,2501.7,2608.94,1939.8,2221.88,2681.14,3067.1,2597.96,0.124786,
20,1,2,9,2347.31,2501.7,2608.94,1939.8,2221.88,2681.14,3067.1,2597.96,0.124786,
20,1,2,10,2440.37,1767.92,3056.6,2786.91,3131.83,3011.63,2757.16,1791.68,0.129651,
,,,,,,,,,,,,,=STDEV.S(M124:M133),
,,,,,,,,,,,,,,
25,1,2,1,1863.49,1336.01,3463.15,2383.59,2534.89,2866.12,2506.31,3165.03,0.125741,
25,1,2,2,1863.49,1336.01,3463.15,2383.59,2534.89,2866.12,2506.31,3165.03,0.125741,
25,1,2,3,1863.49,1336.01,3463.15,2383.59,2534.89,2866.12,2506.31,3165.03,0.125741,
25,1,2,4,1863.49,1336.01,3463.15,2383.59,2534.89,2866.12,2506.31,3165.03,0.125741,
25,1,2,5,1863.49,1336.01,3463.15,2383.59,2534.89,2866.12,2506.31,3165.03,0.125741,
25,1,2,6,1562.81,2760.64,2212.28,1941.63,2643.45,1921.31,2010.09,2146.05,0.107489,
25,1,2,7,1562.81,2760.64,2212.28,1941.63,2643.45,1921.31,2010.09,2146.05,0.107489,
25,1,2,8,1562.81,2760.64,2212.28,1941.63,2643.45,1921.31,2010.09,2146.05,0.107489,
25,1,2,9,1562.81,2760.64,2212.28,1941.63,2643.45,1921.31,2010.09,2146.05,0.107489,
25,1,2,10,1562.81,2760.64,2212.28,1941.63,2643.45,1921.31,2010.09,2146.05,0.107489,
,,,,,,,,,,,,,=STDEV.S(M136:M145),
,,,,,,,,,,,,,,
30,1,2,1,2012.57,2521.52,2608.5,2287.01,2425.61,1974.26,2287.05,2039.77,0.113477,
30,1,2,2,2749.76,3033.32,3033.15,3447.87,2773.84,2443.65,1283.88,1540.81,0.126914,
30,1,2,3,2749.76,3033.32,3033.15,3447.87,2773.84,2443.65,1283.88,1540.81,0.126914,
30,1,2,4,2749.76,3033.32,3033.15,3447.87,2773.84,2443.65,1283.88,1540.81,0.126914,
